* AERMOD ( 19191): DISPERSIÓN - CO                                                         04/30/20
* AERMET ( 19191): EJECUTADO POR N. USCUCHAGUA                                              22:39:42
* MODELING OPTIONS USED:   NonDFAULT  CONC  FLAT  FLGPOL  RURAL  ADJ_U*  MMIF_Data
*         POST/PLOT FILE OF CONCURRENT  1-HR VALUES FOR SOURCE GROUP: ALL     
*         FOR A TOTAL OF     2 RECEPTORS.
*         FORMAT: (3(1X,F13.5),3(1X,F8.2),2X,A6,2X,A8,2X,I8.8,2X,A8)                                                                                                                                                      
*        X             Y      AVERAGE CONC    ZELEV    ZHILL    ZFLAG    AVE     GRP       DATE     NET ID
* ____________  ____________  ____________   ______   ______   ______  ______  ________  ________  ________
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010422          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010423          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010423          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010424          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010424          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010501          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010501          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010502          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010502          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010503          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010503          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010504          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010504          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010505          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010505          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010506          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010506          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010507          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010507          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010508          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010508          
  499990.00000 8341510.00000       1.02690   500.00   500.00     1.50    1-HR  ALL       16010509          
  500020.00000 8341827.00000       4.42010   500.00   500.00     1.50    1-HR  ALL       16010509          
  499990.00000 8341510.00000       0.61331   500.00   500.00     1.50    1-HR  ALL       16010510          
  500020.00000 8341827.00000      16.38031   500.00   500.00     1.50    1-HR  ALL       16010510          
  499990.00000 8341510.00000       0.37430   500.00   500.00     1.50    1-HR  ALL       16010511          
  500020.00000 8341827.00000      17.95931   500.00   500.00     1.50    1-HR  ALL       16010511          
  499990.00000 8341510.00000       0.32130   500.00   500.00     1.50    1-HR  ALL       16010512          
  500020.00000 8341827.00000      17.11546   500.00   500.00     1.50    1-HR  ALL       16010512          
  499990.00000 8341510.00000       0.32487   500.00   500.00     1.50    1-HR  ALL       16010513          
  500020.00000 8341827.00000      17.81206   500.00   500.00     1.50    1-HR  ALL       16010513          
  499990.00000 8341510.00000       0.22995   500.00   500.00     1.50    1-HR  ALL       16010514          
  500020.00000 8341827.00000      12.93113   500.00   500.00     1.50    1-HR  ALL       16010514          
  499990.00000 8341510.00000       0.12990   500.00   500.00     1.50    1-HR  ALL       16010515          
  500020.00000 8341827.00000       5.21411   500.00   500.00     1.50    1-HR  ALL       16010515          
  499990.00000 8341510.00000       0.05731   500.00   500.00     1.50    1-HR  ALL       16010516          
  500020.00000 8341827.00000       0.49777   500.00   500.00     1.50    1-HR  ALL       16010516          
  499990.00000 8341510.00000       0.01430   500.00   500.00     1.50    1-HR  ALL       16010517          
  500020.00000 8341827.00000       0.02535   500.00   500.00     1.50    1-HR  ALL       16010517          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010518          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010518          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010519          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010519          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010520          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010520          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010521          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010521          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010522          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010522          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010523          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010523          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010524          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010524          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010601          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010601          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010602          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010602          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010603          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010603          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010604          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010604          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010605          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010605          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010606          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010606          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010607          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010607          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010608          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010608          
  499990.00000 8341510.00000       0.02458   500.00   500.00     1.50    1-HR  ALL       16010609          
  500020.00000 8341827.00000       0.43833   500.00   500.00     1.50    1-HR  ALL       16010609          
  499990.00000 8341510.00000       0.07650   500.00   500.00     1.50    1-HR  ALL       16010610          
  500020.00000 8341827.00000       3.14664   500.00   500.00     1.50    1-HR  ALL       16010610          
  499990.00000 8341510.00000       0.07631   500.00   500.00     1.50    1-HR  ALL       16010611          
  500020.00000 8341827.00000       4.47202   500.00   500.00     1.50    1-HR  ALL       16010611          
